account,amount
251KZM2DFEkvVSf7DhtbzptTJmgBuJCJz5Sn2xvdB5g8JKbs,4162.489
22CYpPTDvcsjtjC4sR8RNZrR8KetkXQeBMhXQQAeQvJrP8DY,4113.55
22pn61fjnWJdqmCpw3Ffga4p8nkxxJGZWPM4GDVceTnW7NY7,4098.273
238oEBgVUNsg2aqZnjJ5wpE6EAVYWuuNUsbydYBmaXUEbCS4,4072.089
24KwSPMmRBxUEXYX9H9cobyNToQCqmdtv8ZSGfB3dbYSDFrs,4057.841
21AY6yJQvSs9hGr2oba3B82PtRTcu7USLmdFadsARbDxULQf,4007.859
22zcrNq347jVeZYh6inegwLQfJ4m33cxXf1jTXcv8rj7ZowG,4000
24RJLSXS6wm4u3XFjk3gxHTxwxS5gso6agKsTB8vDtdGeNV2,3894.629
25QrDDSmxio4QpsiDubnS9U33awUoPmMwpPG93bBV47o7Sfb,3880.43
23Tusc7T7Qnv1KNBY5wTM1Cex5RYDdxhcdJd92cEwWn7jEuJ,3836.289
21nL69AcvTZ37U5v8ZAHvwSTHkcBZfDej4qTPG9Svk6DK6WK,3775.236
23ZEL7Yo5Rn9SUj9GUAnqwcACGDNmynBqJZxoq1VUq4vMHvm,3732.272
22gffEWPauyCGDbSMvH9WDG99rDdm5PkQuVF5LtUcdST76ap,3701.458
21AGGMNJR4wjBQgC8wh51YcTakfenv1JJrCSTNteAD6JjKYY,3690.25
21XXp25T9fPMC3SAB9AecA46CXR9WWC7dmgC2wf6HKuKTgNA,3666.702
24zJ17qGXgD4MPxWpk9PB5VXQrT9Uw9ry3KdWYPWfR38V1c4,3618.853
25YeoRaNJny2k6qU7G1kegSzn8Bd6LJhQQiNAcoHK1ggsvyi,3596.134
25aTdqyop1DajS5pQz7MU8YAVd28fMTvXhtSQZT7sw3jHT8y,3512.472
259FcF3bAi2QcGESmRkjqBKStiHwrpCqYA2B2Be6EJCG4JdD,3509.531
24QH7vQNjwddrSrNLYowh8MFPaxvqouJUn8MCXK1FH1Uusrz,3495.233
21AeJHPDsnPqb8ZeVDTqzqYzfHLmknB57xttHYr9xyuMzppH,3437.343
24QotWXiSvK6wDqjhXAyoN2JpR1KyfzrmqNDJfqoKoQgmaso,3421.612
243zzYzFN94FKzGPzhnDxZdmTosKkubvvw4LcB2NZdGXWnmr,3360.876
